OID_,pointid,grid_code,rain_nor,dem_nor,slope_nor,NDVI_nor,evp_nor,SSD_nor,GST_nor,POINT_X,POINT_Y,Value
1,1,80,0.3281005,0.754942,0.2960379,0.2,0.1134504,0.5720398,0.3330577,-1056027.237,3184914.185,1
2,2,80,0.2656115,0.8260088,0.0875773,0.0565217,0.1641461,0.8608553,0.3610074,-899027.2373,3192914.185,1
3,3,80,0.2816885,0.8148995,0.4707607,0.0652174,0.1502517,0.8670787,0.3459178,-898027.2373,3192914.185,1
4,4,80,0.2873106,0.809835,0.2319418,0.0521739,0.1445849,0.8646203,0.3394736,-901027.2373,3191914.185,1
5,5,20,0.1399491,0.6541415,0.3751474,0.5913044,0.284491,0.8211212,0.4875647,-893027.2373,3190914.185,1
6,6,80,0.2382833,0.7712792,0.4242317,0.0130435,0.1888261,0.841566,0.3862016,-905027.2373,3189914.185,1
7,7,80,0.1892325,0.6760333,0.1280881,0.1695652,0.2376193,0.8336351,0.4376207,-897027.2373,3189914.185,1
8,8,80,0.2013045,0.7279856,0.1188478,0.0956522,0.2279674,0.839445,0.4269645,-895027.2373,3189914.185,1
9,9,80,0.2855866,0.8049338,0.3508609,0.0043478,0.1496295,0.8598899,0.3426889,-901027.2373,3188914.185,1
10,10,80,0.1925806,0.7020095,0.2532948,0.3086957,0.2376361,0.8361321,0.4364907,-894027.2373,3188914.185,1
11,11,20,0.1807617,0.6884496,0.2115339,0.573913,0.2520517,0.8343638,0.4507328,-890027.2373,3188914.185,1
12,12,80,0.1727257,0.6598595,0.0439277,0.573913,0.2599497,0.8325511,0.4591086,-889027.2373,3188914.185,1
13,13,80,0.2068807,0.6998857,0.152774,0.7086957,0.2297388,0.8415813,0.4259438,-890027.2373,3187914.185,1
14,14,80,0.1875809,0.6894298,0.3362935,0.2782609,0.2477863,0.8360834,0.4452451,-889027.2373,3187914.185,1
15,15,20,0.2375168,0.7511845,0.513222,0.1,0.2033664,0.8502738,0.3967835,-890027.2373,3186914.185,1
16,16,20,0.176159,0.6979252,0.3303258,0.3913044,0.2593049,0.8309999,0.4568793,-889027.2373,3186914.185,1
17,17,20,0.2213698,0.7232478,0.2851987,0.0956522,0.2184895,0.842776,0.412437,-891027.2373,3185914.185,1
18,18,80,0.3013532,0.8018298,0.2331913,0.0521739,0.1908618,0.8917463,0.3819771,-818027.2373,3193914.185,1
19,19,80,0.2153386,0.7583728,0.4246857,0.0565217,0.2374504,0.8652818,0.4343707,-861027.2373,3191914.185,1
20,20,80,0.290305,0.7854925,0.3467789,0.0695652,0.2065642,0.8848251,0.3965814,-814027.2373,3191914.185,1
21,21,80,0.3137744,0.7691554,0.2348522,0.026087,0.1736961,0.8973115,0.3614627,-832027.2373,3190914.185,1
22,22,20,0.237773,0.7487339,0.4807769,0.0782609,0.2237389,0.8717213,0.4174176,-856027.2373,3189914.185,1
23,23,80,0.3198584,0.8348309,0.3431921,0.0391304,0.1728244,0.8975955,0.3592099,-828027.2373,3189914.185,1
24,24,80,0.3131379,0.8096716,0.4953939,0.0608696,0.18043,0.8949138,0.3672311,-826027.2373,3189914.185,1
25,25,80,0.3000792,0.7812449,0.3270476,0.0608696,0.1929622,0.8903707,0.3806421,-825027.2373,3189914.185,1
26,26,80,0.2973736,0.8127757,0.149905,0.0391304,0.1969176,0.8889084,0.3847398,-823027.2373,3189914.185,1
27,27,80,0.2778328,0.8008496,0.4386896,0.0521739,0.2152705,0.8821937,0.4044216,-822027.2373,3189914.185,1
28,28,80,0.2162257,0.7010292,0.5382931,0.1391304,0.2802495,0.856048,0.4734807,-808027.2373,3189914.185,1
29,29,80,0.3381124,0.8452867,0.4111217,0.0173913,0.1522718,0.9037587,0.3367417,-835027.2373,3188914.185,1
30,30,80,0.3327521,0.8039536,0.2444751,0.0347826,0.1627037,0.900892,0.347328,-828027.2373,3188914.185,1
31,31,80,0.3031902,0.766378,0.1410994,0.0347826,0.1901205,0.890981,0.3767585,-827027.2373,3188914.185,1
32,32,80,0.3292314,0.8044437,0.6136335,0.0217391,0.168987,0.8987454,0.3537433,-824027.2373,3188914.185,1
33,33,80,0.3086554,0.7658879,0.1151112,0.0565217,0.1882867,0.8917148,0.3744386,-823027.2373,3188914.185,1
34,34,80,0.2437448,0.7214507,0.2873311,0.0652174,0.2482693,0.8698211,0.4388561,-821027.2373,3188914.185,1
35,35,80,0.2897195,0.7941513,0.3788475,0.0782609,0.2111716,0.8826452,0.3984566,-815027.2373,3188914.185,1
36,36,80,0.3217411,0.8227414,0.4033635,0.0130435,0.1692921,0.8972988,0.3540165,-834027.2373,3187914.185,1
