OID_,pointid,grid_code,rain_nor,dem_nor,slope_nor,NDVI_nor,evp_nor,SSD_nor,GST_nor,POINT_X,POINT_Y,Value
298,298,20,0.5554349,0.6750531,0.2513695,0.3782609,0.3594244,0.2883359,0.4485038,-573027.2373,3311914.185,1
299,299,20,0.5729839,0.7471002,0.2656083,0.2739131,0.3055385,0.3635949,0.4271592,-608027.2373,3310914.185,1
300,300,80,0.620427,0.7856559,0.2051536,0.026087,0.2636443,0.3769751,0.3809743,-607027.2373,3310914.185,1
301,301,20,0.5708577,0.7894135,0.2572235,0.0782609,0.3109117,0.3542764,0.4286305,-604027.2373,3310914.185,1
302,302,80,0.5512069,0.7106682,0.3991478,0.0782609,0.3295112,0.3456995,0.4475767,-603027.2373,3310914.185,1
303,303,80,0.5512069,0.7020095,0.4069246,0.0956522,0.3295112,0.3456995,0.4475767,-602027.2373,3310914.185,1
304,304,80,0.5407332,0.7137722,0.1276025,0.1695652,0.3398569,0.3401371,0.4576357,-601027.2373,3310914.185,1
305,305,80,0.5537075,0.7186734,0.0659876,0.2608696,0.3290929,0.3422655,0.4449657,-600027.2373,3310914.185,1
306,306,80,0.609049,0.7036432,0.5045617,0.1521739,0.2768424,0.3650621,0.3908168,-602027.2373,3309914.185,1
307,307,80,0.5382577,0.7673583,0.5683296,0.1347826,0.3391377,0.3444435,0.4589213,-603027.2373,3308914.185,1
308,308,20,0.5452119,0.6863258,0.4295237,0.3130435,0.3337866,0.3445656,0.4520717,-602027.2373,3308914.185,1
309,309,20,0.5441712,0.6882862,0.3030806,0.3652174,0.3525805,0.3086948,0.453745,-585027.2373,3308914.185,1
310,310,20,0.5628991,0.685999,0.1857252,0.3391304,0.3712974,0.268667,0.4475364,-560027.2373,3308914.185,1
311,311,20,0.5369506,0.7060938,0.5604231,0.3130435,0.3406615,0.3422935,0.4594124,-602027.2373,3307914.185,1
312,312,20,0.50996,0.6739095,0.610632,0.4130435,0.3841811,0.2957177,0.4865341,-584027.2373,3307914.185,1
313,313,20,0.5198952,0.6446659,0.420906,0.3652174,0.3993834,0.2657212,0.4841642,-567027.2373,3307914.185,1
314,314,80,0.5369421,0.708381,0.4053888,0.3652174,0.3305151,0.3670507,0.4604516,-614027.2373,3306914.185,1
315,315,20,0.5305253,0.6922072,0.4494001,0.4130435,0.3652265,0.3027225,0.4659819,-584027.2373,3306914.185,1
316,316,80,0.5370101,0.7343571,0.1932461,0.2608696,0.3331414,0.3586668,0.4588704,-610027.2373,3305914.185,1
317,317,80,0.5268541,0.7310897,0.0858826,0.2565217,0.345832,0.3464724,0.4681423,-605027.2373,3305914.185,1
318,318,80,0.5662334,0.7444862,0.3615473,0.2391304,0.3070522,0.3665487,0.4296315,-609027.2373,3304914.185,1
319,319,20,0.560694,0.752328,0.1188478,0.173913,0.3129317,0.3625039,0.4348603,-608027.2373,3304914.185,1
320,320,80,0.5401584,0.7284757,0.5447604,0.2695652,0.3351063,0.3469234,0.4543228,-603027.2373,3304914.185,1
321,321,20,0.5317057,0.7464467,0.3639572,0.2434783,0.3415514,0.34516,0.4611042,-603027.2373,3302914.185,1
322,322,20,0.5375121,0.6982519,0.4569878,0.3608696,0.3278913,0.3645783,0.453973,-611027.2373,3299914.185,1
323,323,20,0.5201212,0.7245548,0.0439277,0.3608696,0.344771,0.3549133,0.4698261,-608027.2373,3298914.185,1
324,324,20,0.5077766,0.7085444,0.2047778,0.3782609,0.3571928,0.3468994,0.480857,-606027.2373,3297914.185,1
325,325,20,0.5346107,0.73256,0.2523466,0.3043478,0.3350027,0.351125,0.4547056,-604027.2373,3297914.185,1
326,326,20,0.5193222,0.6904101,0.3753323,0.3434783,0.3528838,0.3370598,0.4694304,-600027.2373,3297914.185,1
327,327,20,0.4978403,0.6817514,0.2348522,0.2956522,0.3862661,0.30221,0.4902436,-587027.2373,3295914.185,1
328,328,20,0.4971287,0.6670479,0.0497925,0.3608696,0.4250208,0.2502741,0.5028266,-561027.2373,3294914.185,1
329,329,20,0.4890972,0.6711321,0.2636988,0.3434783,0.3908087,0.3046461,0.4970863,-589027.2373,3293914.185,1
330,330,20,0.5433788,0.7072374,0.1658428,0.2956522,0.3444388,0.3180198,0.4448487,-587027.2373,3293914.185,1
331,331,20,0.5273842,0.6737461,0.1932461,0.3217391,0.3994517,0.2583878,0.4738493,-560027.2373,3293914.185,1
332,332,20,0.5153913,0.6949845,0.3823458,0.3086957,0.3728623,0.303153,0.4715839,-584027.2373,3291914.185,1
333,333,20,0.5369477,0.7158961,0.1955867,0.2652174,0.3531033,0.3106669,0.4501061,-584027.2373,3290914.185,1
334,334,20,0.5111707,0.6623101,0.1963813,0.3347826,0.3776958,0.3000154,0.4754152,-583027.2373,3290914.185,1
335,335,20,0.5158051,0.6869792,0.008347,0.3478261,0.3517922,0.3406697,0.4671617,-600027.2373,3289914.185,1
336,336,20,0.5142728,0.6971083,0.3769149,0.3347826,0.3745829,0.3014823,0.4718534,-583027.2373,3289914.185,1
337,337,20,0.519914,0.6784839,0.4369321,0.3869565,0.4014784,0.2610271,0.4769543,-562027.2373,3288914.185,1
338,338,20,0.4871815,0.6716223,0.1787836,0.3782609,0.4328645,0.2482583,0.5095614,-561027.2373,3288914.185,1
339,339,80,0.49966,0.7093612,0.3155114,0.2956522,0.3349498,0.3949831,0.4688466,-619027.2373,3273914.185,1
340,340,20,0.5403745,0.6864892,0.2059025,0.3391304,0.3632779,0.2980477,0.4446095,-573027.2373,3272914.185,1
341,341,20,0.5047971,0.7010292,0.4418364,0.3956522,0.3400647,0.3760079,0.4630786,-610027.2373,3271914.185,1
342,342,20,0.5239137,0.685999,0.0862891,0.1913043,0.3802159,0.2913955,0.4610445,-572027.2373,3270914.185,1
343,343,20,0.4900581,0.7082176,0.3807844,0.2434783,0.35146,0.3747372,0.4763305,-611027.2373,3269914.185,1
344,344,20,0.5347971,0.7178566,0.2585831,0.2130435,0.3650857,0.3025499,0.4481645,-575027.2373,3269914.185,1
345,345,20,0.5527199,0.7372978,0.2888562,0.2130435,0.3527752,0.3042702,0.4321528,-573027.2373,3268914.185,1
346,346,20,0.5052332,0.7121385,0.4232917,0.2608696,0.3974306,0.2863592,0.4789969,-572027.2373,3268914.185,1
347,347,20,0.5324592,0.7569025,0.3597897,0.226087,0.309429,0.3958638,0.4330331,-613027.2373,3267914.185,1
348,348,20,0.4780363,0.6663944,0.0514289,0.3043478,0.3708559,0.35521,0.4881019,-604027.2373,3267914.185,1
349,349,20,0.5097604,0.7186734,0.3770981,0.4347826,0.3437531,0.3629952,0.4577092,-603027.2373,3267914.185,1
350,350,80,0.5454164,0.707074,0.5232199,0.4391305,0.3206799,0.3591735,0.4255742,-597027.2373,3267914.185,1
351,351,20,0.564104,0.7399118,0.4226337,0.173913,0.3353473,0.3180995,0.4180414,-577027.2373,3267914.185,1
352,352,20,0.5517282,0.7636007,0.5543063,0.1217391,0.3538712,0.3045092,0.4330401,-573027.2373,3267914.185,1
353,353,20,0.5308741,0.6631269,0.6975042,0.2565217,0.3764705,0.2929648,0.4548965,-571027.2373,3267914.185,1
354,354,20,0.4962845,0.7046234,0.2258316,0.4,0.3540609,0.3620824,0.4697755,-604027.2373,3266914.185,1
355,355,20,0.5742128,0.7590263,0.1562771,0.2739131,0.3300706,0.3172172,0.4095969,-575027.2373,3266914.185,1
356,356,20,0.5185276,0.7091978,0.2455647,0.1347826,0.3223278,0.3906051,0.4452662,-612027.2373,3265914.185,1
357,357,80,0.5153717,0.7490606,0.3031528,0.3217391,0.3473215,0.3509611,0.4537453,-596027.2373,3265914.185,1
358,358,20,0.5388806,0.7232478,0.4579246,0.0695652,0.3678377,0.2990696,0.4462445,-572027.2373,3265914.185,1
359,359,20,0.5114011,0.7444862,0.2668848,0.3826087,0.3181907,0.4082908,0.4489619,-619027.2373,3264914.185,1
360,360,20,0.5093076,0.6833851,0.3048768,0.226087,0.3370941,0.3761336,0.4546479,-607027.2373,3264914.185,1
361,361,20,0.5416259,0.6899199,0.3826541,0.3391304,0.3266908,0.3552159,0.4288205,-594027.2373,3264914.185,1
362,362,20,0.5152136,0.705767,0.2260526,0.4043478,0.3521071,0.3439861,0.4549598,-593027.2373,3264914.185,1
363,363,20,0.4859045,0.6657409,0.0531478,0.3913044,0.3551736,0.3738209,0.4765342,-609027.2373,3263914.185,1
364,364,20,0.5051291,0.6600229,0.4563948,0.2130435,0.3527633,0.3553504,0.4612555,-598027.2373,3262914.185,1
365,365,20,0.4702937,0.6173828,0.3970639,0.3652174,0.3940246,0.3282814,0.4983163,-592027.2373,3262914.185,1
366,366,20,0.5345929,0.7080542,0.2140425,0.173913,0.3705828,0.3018216,0.4495363,-573027.2373,3262914.185,1
367,367,20,0.5103619,0.7201438,0.3115502,0.1521739,0.3528117,0.3500339,0.4573545,-595027.2373,3261914.185,1
368,368,20,0.4945174,0.7253717,0.4387158,0.1173913,0.3687568,0.342226,0.473293,-594027.2373,3261914.185,1
369,369,20,0.4710226,0.7430158,0.3093984,0.0913043,0.3916047,0.3319193,0.4966626,-593027.2373,3261914.185,1
