OID_,pointid,grid_code,rain_nor,dem_nor,slope_nor,NDVI_nor,evp_nor,SSD_nor,GST_nor,POINT_X,POINT_Y,Value
1,1,20,0.1618965,0.6631269,0.2025047,0.7347826,0.2629136,0.8287805,0.4652142,-894027.2373,3191914.185,1
2,2,20,0.1407569,0.6231008,0.0961071,0.7608696,0.2875403,0.8234056,0.489582,-889027.2373,3189914.185,1
3,3,20,0.1596623,0.6490769,0.3060707,0.7652174,0.270407,0.8266111,0.470625,-891027.2373,3188914.185,1
4,4,10,0.1529153,0.6319229,0.0617305,0.7391304,0.2828334,0.8236588,0.481177,-887027.2373,3185914.185,1
5,5,20,0.1236312,0.5979415,0.0995355,0.7043478,0.316263,0.8081244,0.5131594,-886027.2373,3180914.185,1
6,6,20,0.0878236,0.6085607,0.134994,0.6478261,0.3532694,0.796023,0.5510105,-882027.2373,3178914.185,1
7,7,20,0.1104206,0.5907531,0.2726492,0.8913043,0.3373657,0.8076609,0.5330176,-876027.2373,3178914.185,1
8,8,20,0.0960545,0.5785003,0.3981033,0.7391304,0.3553107,0.8022114,0.5503016,-873027.2373,3176914.185,1
9,9,80,0.1941133,0.7056037,0.5709628,0.8130435,0.3212237,0.8380559,0.5032138,-811027.2373,3175914.185,1
10,10,80,0.240007,0.6757066,0.2556203,0.7565217,0.282174,0.8494403,0.4566356,-820027.2373,3169914.185,1
11,11,20,0.1933865,0.6440124,0.3668272,0.9043478,0.3344466,0.830399,0.5110705,-808027.2373,3169914.185,1
12,12,20,0.2776268,0.6417252,0.2973821,0.7391304,0.2610776,0.856248,0.4302871,-809027.2373,3167914.185,1
13,13,20,0.2331441,0.6301258,0.4729507,0.7217391,0.309921,0.8353484,0.4774768,-810027.2373,3161914.185,1
14,14,20,0.2095917,0.6325764,0.3017948,0.8521739,0.3342198,0.8253335,0.5018638,-810027.2373,3159914.185,1
15,15,20,0.2241201,0.6289822,0.3761927,0.7217391,0.3206458,0.8289487,0.4862104,-814027.2373,3157914.185,1
16,16,80,0.2698323,0.6704787,0.5548968,0.6565217,0.3482908,0.6569412,0.5146289,-690027.2373,3183914.185,1
17,17,80,0.3087349,0.7080542,0.4118019,0.6826087,0.3323589,0.6291369,0.498441,-680027.2373,3194914.185,1
18,18,80,0.2687213,0.6652508,0.0945673,0.4347826,0.3740906,0.6093542,0.5409145,-678027.2373,3193914.185,1
19,19,20,0.2888734,0.5899363,0.360204,0.7652174,0.3666196,0.6013318,0.5293843,-674027.2373,3193914.185,1
20,20,80,0.3169616,0.6877961,0.401648,0.7478261,0.3283651,0.6294294,0.4917818,-679027.2373,3192914.185,1
21,21,20,0.1501542,0.4963241,0.3815369,0.5826087,0.5133821,0.5273459,0.6794317,-666027.2373,3192914.185,1
22,22,20,0.1723011,0.5974514,0.886875,0.7913043,0.4938371,0.5352666,0.657684,-666027.2373,3191914.185,1
23,23,10,0.6080141,0.6289822,0.0809311,0.8173913,0.7375992,0.10906,0.4893413,-282027.2373,3192914.185,1
24,24,20,0.522326,0.5811142,0.5583161,0.8826087,0.8558134,0.0549971,0.636166,-305027.2373,3188914.185,1
25,25,80,0.7315302,0.6242444,0.3613882,0.4217391,0.6715096,0.1212929,0.4277537,-296027.2373,3185914.185,1
26,26,10,0.5283992,0.5701683,0.3862456,0.9782608,0.8118755,0.0907547,0.5405674,-248027.2373,3185914.185,1
27,27,20,0.5102105,0.5649404,0.3031528,0.7043478,0.8275245,0.0857943,0.5568298,-247027.2373,3185914.185,1
28,28,80,0.8508461,0.6634537,0.3209902,0.6739131,0.6513462,0.16236,0.3533463,-211027.2373,3165914.185,1
29,29,20,0.5471843,0.6456462,0.3004636,0.3434783,0.7516243,0.2503962,0.4691491,-158027.2373,3184914.185,1
30,30,80,0.6513866,0.6784839,0.2036768,0.6347826,0.716009,0.2159521,0.427339,-176027.2373,3179914.185,1
31,31,10,0.6506993,0.6925339,0.2140425,0.4652174,0.715544,0.2181201,0.426909,-175027.2373,3179914.185,1
32,32,80,0.6266029,0.606927,0.4312176,0.7217391,0.7735541,0.1732764,0.4872806,-184027.2373,3175914.185,1
